time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,1.6829015016555786,1.590024471282959,1.133944034576416,0.006964513442821849,0.0037044496512228914,0.10076577783504437,-0.0009075266697464936,-0.019602259910579,4.826212258850119e-05,-0.00372975692152977,-0.005859703756868839,-0.0019792465027421704,-0.0036910585180208243,-0.005861497562570033,-0.001974307151205098
0.02,1.6829015016555786,1.590024471282959,1.133944034576416,0.006964513442821849,0.0037044496512228914,0.10076577783504437,-0.0009075266697464936,-0.019602259910579,4.826212258850119e-05,-0.00372975692152977,-0.005859703756868839,-0.0019792465027421704,-0.0036910585180208243,-0.005861497562570033,-0.001974307151205098
0.03,1.6841858625411987,1.5900815725326538,1.1348952054977417,0.005576316424507651,0.003537272116239528,0.10144905336255582,-0.0009410810186188894,-0.0198315604531621,3.251376637846529e-05,-0.0003260503290221095,-0.007479274645447731,-0.0014384769601747385,-0.0002976589632080398,-0.00748062505666307,-0.0014317192526009663
0.04,1.6841858625411987,1.5900815725326538,1.1348952054977417,0.005576316424507651,0.003537272116239528,0.10144905336255582,-0.0009410810186188894,-0.0198315604531621,3.251376637846529e-05,-0.0003260503290221095,-0.007479274645447731,-0.0014384769601747385,-0.0002976589632080398,-0.00748062505666307,-0.0014317192526009663
0.05,1.6841858625411987,1.5900815725326538,1.1348952054977417,0.005576316424507651,0.003537272116239528,0.10144905336255582,-0.0009410810186188894,-0.0198315604531621,3.251376637846529e-05,-0.0003260503290221095,-0.007479274645447731,-0.0014384769601747385,-0.0002976589632080398,-0.00748062505666307,-0.0014317192526009663
0.060000000000000005,1.6841858625411987,1.5900815725326538,1.1348952054977417,0.005576316424507651,0.003537272116239528,0.10144905336255582,-0.0009410810186188894,-0.0198315604531621,3.251376637846529e-05,-0.0003260503290221095,-0.007479274645447731,-0.0014384769601747385,-0.0002976589632080398,-0.00748062505666307,-0.0014317192526009663
0.07,1.6850956678390503,1.5901113748550415,1.136423945426941,0.007844310147978593,0.005095833696918537,0.1256649646917334,-0.0009182002207772927,-0.01994776611508996,6.496353440478078e-05,-0.01520488876849413,0.01439562626183033,0.0035750372335314733,-0.015275948499598848,0.014398902792930502,0.0035625264260856168
0.08,1.6850956678390503,1.5901113748550415,1.136423945426941,0.007844310147978593,0.005095833696918537,0.1256649646917334,-0.0009182002207772927,-0.01994776611508996,6.496353440478078e-05,-0.01520488876849413,0.01439562626183033,0.0035750372335314733,-0.015275948499598848,0.014398902792930502,0.0035625264260856168
0.09,1.6850956678390503,1.5901113748550415,1.136423945426941,0.007844310147978593,0.005095833696918537,0.1256649646917334,-0.0009182002207772927,-0.01994776611508996,6.496353440478078e-05,-0.01520488876849413,0.01439562626183033,0.0035750372335314733,-0.015275948499598848,0.014398902792930502,0.0035625264260856168
0.09999999999999999,1.6861399412155151,1.5902891159057617,1.140395998954773,0.018976837349958576,0.01424034835605097,0.22779110861622676,-0.010184682583192236,-0.008098210355822774,0.0008078225082704438,-0.5186271667480469,0.6502005457878113,0.04479722678661339,-0.5189363059372236,0.6506230618043555,0.03817418350014888
0.10999999999999999,1.6861399412155151,1.5902891159057617,1.140395998954773,0.018976837349958576,0.01424034835605097,0.22779110861622676,-0.010184682583192236,-0.008098210355822774,0.0008078225082704438,-0.5186271667480469,0.6502005457878113,0.04479722678661339,-0.5189363059372236,0.6506230618043555,0.03817418350014888
0.11999999999999998,1.6861399412155151,1.5902891159057617,1.140395998954773,0.018976837349958576,0.01424034835605097,0.22779110861622676,-0.010184682583192236,-0.008098210355822774,0.0008078225082704438,-0.5186271667480469,0.6502005457878113,0.04479722678661339,-0.5189363059372236,0.6506230618043555,0.03817418350014888
0.12999999999999998,1.6876028776168823,1.590929627418518,1.148779273033142,0.023629972194897958,0.018424507384760525,0.3726230709808149,-0.04671629867440915,0.03404457462967705,0.00299708621332616,-1.1481797695159912,1.2553536891937256,0.11109735071659073,-1.1463967792525616,1.2591722578930316,0.05238234736422868
0.13999999999999999,1.6876028776168823,1.590929627418518,1.148779273033142,0.023629972194897958,0.018424507384760525,0.3726230709808149,-0.04671629867440915,0.03404457462967705,0.00299708621332616,-1.1481797695159912,1.2553536891937256,0.11109735071659073,-1.1463967792525616,1.2591722578930316,0.05238234736422868
0.15,1.6876028776168823,1.590929627418518,1.148779273033142,0.023629972194897958,0.018424507384760525,0.3726230709808149,-0.04671629867440915,0.03404457462967705,0.00299708621332616,-1.1481797695159912,1.2553536891937256,0.11109735071659073,-1.1463967792525616,1.2591722578930316,0.05238234736422868
0.16,1.6896616220474243,1.5922517776489258,1.161895751953125,0.03001125340176842,0.02450340095889411,0.5077893980647044,-0.06894759858174523,0.05786457601637507,0.003996790291528245,-1.082900881767273,1.1214486360549927,0.12385443598031984,-1.0802187448994902,1.1273168384070373,0.046377843026020354
0.17,1.6896616220474243,1.5922517776489258,1.161895751953125,0.03001125340176842,0.02450340095889411,0.5077893980647044,-0.06894759858174523,0.05786457601637507,0.003996790291528245,-1.082900881767273,1.1214486360549927,0.12385443598031984,-1.0802187448994902,1.1273168384070373,0.046377843026020354
0.18000000000000002,1.6896616220474243,1.5922517776489258,1.161895751953125,0.03001125340176842,0.02450340095889411,0.5077893980647044,-0.06894759858174523,0.05786457601637507,0.003996790291528245,-1.082900881767273,1.1214486360549927,0.12385443598031984,-1.0802187448994902,1.1273168384070373,0.046377843026020354
