time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
0.01,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2287394164001045,0.2337495592246508,0.0
0.02,5.5,5.5,5.5,-0.0,0.0,0.0,-0.22884366588071645,0.2338475024816387,0.0
0.03,5.5,5.5,5.5,-0.0,0.0,0.0,-0.22899499646989413,0.23452421682635793,0.0
0.04,5.5,5.5,5.5,-0.0,0.0,0.0,-0.22909547943868996,0.2346133906504438,0.0
0.05,5.5,5.5,5.5,-0.0,0.0,0.0,-0.22918865083902779,0.23470322141587058,0.0
0.060000000000000005,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2292783141517811,0.23479020289304053,0.0
0.07,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2303439734363997,0.23541856058353736,0.0
0.08,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23042115885099868,0.23550870439386257,0.0
0.09,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2305027157171539,0.2355887398453045,0.0
0.09999999999999999,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23219669458821451,0.23498458027397168,0.0
0.10999999999999999,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23210322209040463,0.23523244692741002,0.0
0.11999999999999998,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23217974015922904,0.235306952445976,0.0
0.12999999999999998,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2374729647495687,0.2402889691171253,0.0
0.13999999999999999,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23702965350809224,0.2408803207777268,0.0
0.15,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23710484331047724,0.2409548671354773,0.0
0.16,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24050365666747764,0.24412993745530118,0.0
0.17,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2403380210655845,0.2444439504326737,0.0
0.18000000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24041108966672012,0.24451732337600612,0.0
0.19000000000000003,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24641096392204598,0.24684344341240733,0.0
0.20000000000000004,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2459359107962563,0.24746761058434044,0.0
0.21000000000000005,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24600884887109026,0.24753988488174775,0.0
0.22000000000000006,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24607871175999355,0.24760923298678883,0.0
0.23000000000000007,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2417150575317986,0.23904839934569594,0.0
0.24000000000000007,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24173391253610688,0.2391660696428277,0.0
0.25000000000000006,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2418000818248639,0.23922978695909528,0.0
0.26000000000000006,5.5,5.5,5.5,-0.0,0.0,0.0,-0.24186317209232042,0.23929058041696227,0.0
0.2700000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23396208453557046,0.22924088164476195,0.0
0.2800000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23419402739119108,0.22911851770255504,0.0
0.2900000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.23424939303480358,0.22917049350404495,0.0
0.3000000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.22930582870249233,0.22432876818616998,0.0
0.3100000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.22984854935219315,0.22387533623308045,0.0
0.3200000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2298977340428921,0.22392104779940772,0.0
0.3300000000000001,5.5,5.5,5.5,-0.0,0.0,0.0,-0.219627893943768,0.21194997229025317,0.0
0.34000000000000014,5.5,5.5,5.5,-0.0,0.0,0.0,-0.2198798244198724,0.21177530666750827,0.0
0.35000000000000014,5.5,5.5,5.5,-0.0,0.0,0.0,-0.21992074350425678,0.21181175354955956,0.0
0.36000000000000015,5.5,5.5,5.5,-0.0,0.0,0.0,-0.21995683015896622,0.211843317386188,0.0
0.37000000000000016,5.5,5.5,5.5,-0.0,0.0,0.0,-0.20396230305373012,0.19160005112064898,0.0
0.38000000000000017,5.5,5.5,5.5,-0.0,0.0,0.0,-0.20393383161300005,0.1916890988069898,0.0
0.3900000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.20395804373167226,0.19170549364628656,0.0
0.4000000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18772703988094225,0.17018504186050545,0.0
0.4100000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18746110488079906,0.17055708451347343,0.0
0.4200000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18744528114329526,0.170541594288113,0.0
0.4300000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.16471287720607458,0.14111083018933573,0.0
0.4400000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1643075995625587,0.14157944891343907,0.0
0.45000000000000023,5.5,5.5,5.5,-0.0,0.0,0.0,-0.16429637075901488,0.14157380494883748,0.0
0.46000000000000024,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1642814859844394,0.14156581393856355,0.0
