time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
0.01,5.5,5.5,5.5,-0.0,0.0,0.0,-0.17423972696660164,0.1795737125708156,0.0
0.02,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1743356882792285,0.17967848281886348,0.0
0.03,5.5,5.5,5.5,-0.0,0.0,0.0,-0.17421598474881725,0.17966715362530658,0.0
0.04,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1742966497310623,0.1797646658567264,0.0
0.05,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1743772540190315,0.17985283591174853,0.0
0.060000000000000005,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1748074962167535,0.17992662692210992,0.0
0.07,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1748697091187317,0.18001571092143237,0.0
0.08,5.5,5.5,5.5,-0.0,0.0,0.0,-0.17493849123862357,0.180090549518043,0.0
0.09,5.5,5.5,5.5,-0.0,0.0,0.0,-0.17902813875456877,0.18240693486437956,0.0
0.09999999999999999,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1789716709095243,0.18259999570218702,0.0
0.10999999999999999,5.5,5.5,5.5,-0.0,0.0,0.0,-0.17903565978625752,0.1826678172028146,0.0
0.11999999999999998,5.5,5.5,5.5,-0.0,0.0,0.0,-0.17909635425624235,0.18273214533592239,0.0
0.12999999999999998,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1817108278835037,0.18753365702808525,0.0
0.13999999999999999,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18152088986933837,0.1878409028239943,0.0
0.15,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18157779576297634,0.18790315680925682,0.0
0.16,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18428215876218798,0.18981486401885506,0.0
0.17,5.5,5.5,5.5,-0.0,0.0,0.0,-0.1842817036394272,0.18993537216894033,0.0
0.18000000000000002,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18433720674943493,0.18999545692264788,0.0
0.19000000000000003,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18438989386208465,0.1900524904955995,0.0
0.20000000000000004,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18669250191127293,0.19034008338100594,0.0
0.21000000000000005,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18677162649548656,0.19037622455974995,0.0
0.22000000000000006,5.5,5.5,5.5,-0.0,0.0,0.0,-0.18682457809765374,0.1904321576481404,0.0
