time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
0.01,1.6185529232025146,1.6176210641860962,1.442850112915039,-0.022248555020021366,-0.012549035574150049,-0.2175872765146914,-0.0005768905152058662,-0.0006566712451570209,-0.0004141141257696316,0.0035280261654406786,0.0025418922305107117,-0.0004786653444170955,0.00352834145413983,0.002541615670054632,-0.00048013176172418174
0.02,1.6185529232025146,1.6176210641860962,1.442850112915039,-0.022248555020021366,-0.012549035574150049,-0.2175872765146914,-0.0005768905152058662,-0.0006566712451570209,-0.0004141141257696316,0.0035280261654406786,0.0025418922305107117,-0.0004786653444170955,0.00352834145413983,0.002541615670054632,-0.00048013176172418174
0.03,1.617556095123291,1.6170042753219604,1.4404577016830444,-0.022051962238388248,-0.011740370588820652,-0.21907072454268026,-0.0006467648437096182,-0.0005679922445733383,-0.00038900033858198604,-0.00491637596860528,0.00024402874987572486,0.004420975688844919,-0.004918886958609056,0.0002468880302876269,0.00442081764809353
0.04,1.617556095123291,1.6170042753219604,1.4404577016830444,-0.022051962238388248,-0.011740370588820652,-0.21907072454268026,-0.0006467648437096182,-0.0005679922445733383,-0.00038900033858198604,-0.00491637596860528,0.00024402874987572486,0.004420975688844919,-0.004918886958609056,0.0002468880302876269,0.00442081764809353
0.05,1.617556095123291,1.6170042753219604,1.4404577016830444,-0.022051962238388248,-0.011740370588820652,-0.21907072454268026,-0.0006467648437096182,-0.0005679922445733383,-0.00038900033858198604,-0.00491637596860528,0.00024402874987572486,0.004420975688844919,-0.004918886958609056,0.0002468880302876269,0.00442081764809353
0.060000000000000005,1.6166151762008667,1.616443157196045,1.4376418590545654,-0.01862148838810542,-0.00824249832540543,-0.19071228322858125,-0.0007282978510856745,-0.000599254100767999,-0.0003309717344451011,-0.002777727320790291,-0.0008290908299386495,0.004871292505413294,-0.002780646824220105,-0.0008255428585063384,0.004871895913281968
0.07,1.6166151762008667,1.616443157196045,1.4376418590545654,-0.01862148838810542,-0.00824249832540543,-0.19071228322858125,-0.0007282978510856745,-0.000599254100767999,-0.0003309717344451011,-0.002777727320790291,-0.0008290908299386495,0.004871292505413294,-0.002780646824220105,-0.0008255428585063384,0.004871895913281968
0.08,1.6166151762008667,1.616443157196045,1.4376418590545654,-0.01862148838810542,-0.00824249832540543,-0.19071228322858125,-0.0007282978510856745,-0.000599254100767999,-0.0003309717344451011,-0.002777727320790291,-0.0008290908299386495,0.004871292505413294,-0.002780646824220105,-0.0008255428585063384,0.004871895913281968
0.09,1.616002082824707,1.6161892414093018,1.4372198581695557,-0.0029642827735890196,0.006695386230793501,-0.046007398832844805,-0.011412607084564977,0.0099036469366334,0.0003521531970208072,-0.5675978660583496,0.5615754127502441,0.04308133572340005,-0.5672346911185043,0.5620305009064085,0.03667142811846649
0.09999999999999999,1.616002082824707,1.6161892414093018,1.4372198581695557,-0.0029642827735890196,0.006695386230793501,-0.046007398832844805,-0.011412607084564977,0.0099036469366334,0.0003521531970208072,-0.5675978660583496,0.5615754127502441,0.04308133572340005,-0.5672346911185043,0.5620305009064085,0.03667142811846649
0.10999999999999999,1.616002082824707,1.6161892414093018,1.4372198581695557,-0.0029642827735890196,0.006695386230793501,-0.046007398832844805,-0.011412607084564977,0.0099036469366334,0.0003521531970208072,-0.5675978660583496,0.5615754127502441,0.04308133572340005,-0.5672346911185043,0.5620305009064085,0.03667142811846649
0.11999999999999998,1.616002082824707,1.6161892414093018,1.4372198581695557,-0.0029642827735890196,0.006695386230793501,-0.046007398832844805,-0.011412607084564977,0.0099036469366334,0.0003521531970208072,-0.5675978660583496,0.5615754127502441,0.04308133572340005,-0.5672346911185043,0.5620305009064085,0.03667142811846649
0.12999999999999998,1.6159268617630005,1.6166112422943115,1.4444847106933594,0.014939537972585966,0.024095407886989845,0.14085759412057894,-0.04653858705716576,0.044615395846606044,0.001691730197173008,-1.2216837406158447,1.2000454664230347,0.08057479560375198,-1.2205828259541143,1.202494631365614,0.024683855432930325
0.13999999999999999,1.6159268617630005,1.6166112422943115,1.4444847106933594,0.014939537972585966,0.024095407886989845,0.14085759412057894,-0.04653858705716576,0.044615395846606044,0.001691730197173008,-1.2216837406158447,1.2000454664230347,0.08057479560375198,-1.2205828259541143,1.202494631365614,0.024683855432930325
0.15,1.6159268617630005,1.6166112422943115,1.4444847106933594,0.014939537972585966,0.024095407886989845,0.14085759412057894,-0.04653858705716576,0.044615395846606044,0.001691730197173008,-1.2216837406158447,1.2000454664230347,0.08057479560375198,-1.2205828259541143,1.202494631365614,0.024683855432930325
0.16,1.6165016889572144,1.6181011199951172,1.464333415031433,0.031549264418391954,0.037863930285780015,0.32086962834565297,-0.07713682161320683,0.07512949031105354,0.0020041432360531036,-1.2703568935394287,1.276422381401062,0.09907839447259888,-1.2703251122840393,1.2802618660727711,0.0004234179262698185
0.17,1.6165016889572144,1.6181011199951172,1.464333415031433,0.031549264418391954,0.037863930285780015,0.32086962834565297,-0.07713682161320683,0.07512949031105354,0.0020041432360531036,-1.2703568935394287,1.276422381401062,0.09907839447259888,-1.2703251122840393,1.2802618660727711,0.0004234179262698185
0.18000000000000002,1.6165016889572144,1.6181011199951172,1.464333415031433,0.031549264418391954,0.037863930285780015,0.32086962834565297,-0.07713682161320683,0.07512949031105354,0.0020041432360531036,-1.2703568935394287,1.276422381401062,0.09907839447259888,-1.2703251122840393,1.2802618660727711,0.0004234179262698185
