time,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_phi,ref_theta,ref_psi
3.6799999999999655,5.412148803449257,4.503866390856827,5.201159917257049,1.251778411391231,-0.11039706947715514,-0.03311912084314654,-0.20007641292987652,0.07352492987911365,0.0
3.6899999999999653,5.4271795633966535,4.502654932326379,5.200796479697914,1.2533007750789842,-0.09150885946570919,-0.027452657839712756,-0.19318090637636515,0.07046208801367257,0.0
3.699999999999965,5.4372094804706865,4.501973271571728,5.2005919814715185,1.2541573752466053,-0.07890489394735073,-0.023671468184205215,-0.1963293218121693,0.068818273262605,0.0
3.709999999999965,5.452265937611508,4.501139920064931,5.200341976019479,1.25520459563525,-0.05998439189027295,-0.017995317567081885,-0.20084993814022326,0.06676058619609165,0.0
3.7199999999999647,5.462309817330066,4.500710527359411,5.2002131582078235,1.2557441864229175,-0.04736288039532899,-0.014208864118598695,-0.19187278446249784,0.06441825442590506,0.0
3.7299999999999645,5.477382461683271,4.500255809238938,5.200076742771682,1.2563156020656103,-0.02842203688724934,-0.008526611066174802,-0.19648009798661867,0.061742776552293245,0.0
3.7399999999999642,5.487433960116647,4.500078955796184,5.200023686738855,1.2565378426562175,-0.01579095143290312,-0.004737285429870936,-0.19945517714691002,0.06024988087296509,0.0
3.749999999999964,5.502513271477003,4.5000031582717455,5.200000947481524,1.2566330926345912,0.0031582700834520204,0.000947481025035606,-0.2039078077980226,0.05792811520514387,0.0
3.759999999999964,5.512566039883352,4.500078955796184,5.200023686738855,1.2565378426562175,0.015790951432902663,0.004737285429870798,-0.19513684527771252,0.05534226512359724,0.0
3.7699999999999636,5.527642493834604,4.500382126743122,5.200114638022937,1.2561568668083443,0.03473658222307732,0.010420974666923197,-0.19955318106491252,0.052663201776951975,0.0
3.7799999999999634,5.537690182669934,4.500710527359411,5.2002131582078235,1.2557441864229175,0.04736288039532852,0.014208864118598556,-0.20248483971630807,0.051003539716401515,0.0
3.789999999999963,5.552754256600626,4.501392475288457,5.200417742586537,1.2548872253813086,0.06629295399284747,0.01988788619785424,-0.1955436915815613,0.04844771938234554,0.0
3.799999999999963,5.562790519529313,4.501973271571728,5.2005919814715185,1.2541573752466053,0.07890489394735026,0.023671468184205072,-0.19839390247978575,0.04672609104974737,0.0
3.8099999999999627,5.577832698647476,4.503033565749954,5.200910069724986,1.2528249702862224,0.09780745371199123,0.02934223611359737,-0.20267109648525294,0.04402973369410391,0.0
3.8199999999999625,5.5878511965507425,4.503866390856827,5.201159917257049,1.251778411391231,0.11039706947715468,0.0331191208431464,-0.19427498863131082,0.04187573780430238,0.0
3.8299999999999623,5.602861979893641,4.505304361579704,5.201591308473911,1.2499714040876044,0.1292601761470253,0.03877805284410759,-0.19841407637004327,0.03920969354822128,0.0
3.839999999999962,5.612856384873481,4.506388689479992,5.201916606843998,1.248608797461354,0.14181951585169278,0.04254585475550783,-0.20122415614740477,0.03731063820856779,0.0
3.849999999999962,5.627826291308623,4.50820342849439,5.202461028548317,1.2463283291590275,0.16063125508431988,0.04818937652529596,-0.20538026833668732,0.03438725648438945,0.0
3.8599999999999617,5.637790290684638,4.509538574303349,5.202861572291004,1.2446505354530688,0.17315238598034455,0.051945715794103356,-0.19421267843341472,0.03313862850877064,0.0
3.8699999999999615,5.652709864898263,4.511728935381211,5.203518680614364,1.2418980465447003,0.1919008758780292,0.05757026276340876,-0.1982083295324328,0.030373346790515315,0.0
3.8799999999999613,5.662637165194883,4.513314055792132,5.203994216737639,1.2399061254894987,0.20437588935076564,0.061312766805229686,-0.20093145425843578,0.028325387144420518,0.0
3.889999999999961,5.677496983664142,4.515878655454455,5.204763596636337,1.2366833545060776,0.22304928796544576,0.06691478638963373,-0.1941092225477792,0.02712268586778818,0.0
3.899999999999961,5.687381314585724,4.517712749271311,5.205313824781394,1.2343785642416654,0.23547030452900372,0.07064109135870111,-0.19672818520009966,0.025134536082212226,0.0
3.9099999999999606,5.702171991530773,4.52064996766198,5.206194990298594,1.23068754675442,0.2540568173418776,0.07621704520256328,-0.20067689942422262,0.021873233289778384,0.0
3.9199999999999604,5.712007109922054,4.5227318764318065,5.206819562929542,1.2280713430357275,0.26641599161597207,0.07992479748479162,-0.20331072767054942,0.019680035741170023,0.0
3.92999999999996,5.726719303234321,4.526039858340731,5.207811957502219,1.2239144103704138,0.28490387898717606,0.08547116369615282,-0.19605121505228623,0.01751258509106105,0.0
3.93999999999996,5.736498997023725,4.528368267085326,5.2085104801255975,1.220988445647784,0.2971934046524352,0.08915802139573055,-0.19860335475629054,0.015517428412886572,0.0
3.9499999999999598,5.751123414166581,4.532044923120231,5.209613476936069,1.2163682234121704,0.3155709892360474,0.0946712967708142,-0.20241048996953312,0.012057000290554907,0.0
3.9599999999999596,5.760841506289896,4.534618361166726,5.210385508350018,1.2131343457876356,0.32778310396465365,0.09833493118939608,-0.19446612086115683,0.011289267494447374,0.0
3.9699999999999593,5.775368910168025,4.538661369072857,5.211598410721857,1.2080537522131132,0.34603877808435796,0.10381163342530737,-0.19804772584946168,0.007962098424113802,0.0
3.979999999999959,5.785019262469976,4.541478210982624,5.212443463294787,1.2045140042730937,0.3581657684429027,0.10744973053287081,-0.20046145662930126,0.005559790914000174,0.0
3.989999999999959,5.799440477263714,4.545885017109532,5.2137655051328595,1.198976248371459,0.3762880014236418,0.11288640042709254,-0.19524273616945034,0.005617717486935855,0.0
3.9999999999999587,5.8090169943749475,4.548943483704846,5.214683045111454,1.1951328658966225,0.3883222077450931,0.11649666232352791,-0.1975780594968464,0.0032159655872218886,0.0
4.009999999999959,5.823322911335936,4.553711304619328,5.216113391385798,1.1891414454331957,0.4062995531960963,0.12188986595882888,-0.20106103582554916,-0.0005978022680904281,0.0
4.019999999999959,5.832819544522986,4.557009464107136,5.21710283923214,1.1849968559862905,0.41823337441780534,0.1254700123253416,-0.19425663500573795,0.00014699354957202864,0.0
4.0299999999999585,5.84700112772745,4.562135288351311,5.218640586505393,1.1785555552706524,0.4360544774623713,0.13081634323871139,-0.19763067965624104,-0.0036643272654378572,0.0
4.039999999999958,5.856411878713251,4.565671057543388,5.2197013172630164,1.1741123766632051,0.4478803759270742,0.13436411277812224,-0.1998964646543703,-0.006316452635016188,0.0
4.049999999999958,5.870460170769275,4.571151647536801,5.22134549426104,1.1672252641589478,0.46553398037454996,0.139660194112365,-0.20320732523524093,-0.010342410124757596,0.0
4.059999999999958,5.8797790955218,4.574922793165542,5.222476837949663,1.1624863027977999,0.47724448659130614,0.1431733459773918,-0.19431932177186756,-0.008092468476184111,0.0
4.069999999999958,5.893685223227024,4.580754687250085,5.224226406175026,1.1551577285527936,0.4947194420467501,0.14841583261402502,-0.19752394584422434,-0.012402841689202318,0.0
4.079999999999957,5.902906435713662,4.5847588273790825,5.225427648213724,1.150125977667513,0.5063071594088361,0.1518921478226508,-0.19967932570697905,-0.015213678009653874,0.0
4.089999999999957,5.916661615659767,4.590938342005455,5.227281502601636,1.1423605705663287,0.5235924283158317,0.15707772849474952,-0.1938190717793613,-0.014119744206117632,0.0
4.099999999999957,5.925779291565072,4.59517294753398,5.228551884260194,1.1370392083186218,0.5350500377725985,0.16051501133177953,-0.19586115706471105,-0.017314098632346547,0.0
4.109999999999957,5.939374835685586,4.601696179588295,5.230508853876489,1.1288418731588226,0.5521347023848241,0.16564041071544722,-0.19891959954662206,-0.02173328472540352,0.0
4.119999999999957,5.948383216090033,4.6061585758487364,5.231847572754621,1.1232342606351393,0.5634549670645642,0.16903649011936925,-0.1901176180228802,-0.01925164366834746,0.0
4.129999999999956,5.961810537147889,4.613021405117813,5.233906421535344,1.1146101750293103,0.5803282363416654,0.1740984709024996,-0.19297170171596692,-0.024350692839319545,0.0
4.139999999999956,5.970703932165332,4.617708773565046,5.235312632069514,1.1087198541179115,0.5915040061225743,0.17745120183677227,-0.19492460587016444,-0.027401007645031516,0.0
4.149999999999956,5.98395454917676,4.624906865338827,5.237472059601648,1.0996744652233628,0.6081552225460279,0.18244656676380838,-0.19776055680992238,-0.032006919440709124,0.0
4.159999999999956,5.992727341548291,4.629816245330474,5.238944873599142,1.093505156377186,0.6191794385723763,0.1857538315717129,-0.18959629399713662,-0.029242094543253053,0.0
4.1699999999999555,6.005792885139578,4.637345053139912,5.241203515941974,1.0840441774554184,0.6355980848769942,0.19067942546309827,-0.1922877517404623,-0.03420094450860402,0.0
4.179999999999955,6.0144395337815055,4.642473343806348,5.242742003141904,1.07759977734216,0.6464637840176546,0.19393913520529635,-0.19409171670298617,-0.03736142327353943,0.0
4.189999999999955,6.027311751475282,4.650328112295064,5.245098433688519,1.06772918415024,0.6626394898345254,0.1987918469503576,-0.187673347164902,-0.03554931795567696,0.0
4.199999999999955,6.0358267949789965,4.655672074497985,5.246701622349396,1.0610137631911363,0.6733398090810322,0.20200194272430966,-0.1893968659386519,-0.03883838470607169,0.0
4.209999999999955,6.048497556406669,4.663847842425846,5.2491543527277535,1.0507397902072866,0.6892623574876586,0.20677870724629757,-0.19189920504327024,-0.04373463271879718,0.0
4.2199999999999545,6.056875616488187,4.669404100804187,5.2508212302412565,1.0437575900061498,0.6997905382890309,0.20993716148670927,-0.19354060850902233,-0.046991250503758464,0.0
4.229999999999954,6.069336918525265,4.677895704180938,5.253368711254281,1.0330867264919106,0.7154498722625687,0.2146349616787706,-0.18614257141644144,-0.04607207781477547,0.0
4.239999999999954,6.077572703422267,4.683660749282816,5.255098224784844,1.0258421571560408,0.7257992647941566,0.21773977943824693,-0.18772931289762365,-0.04935194240134728,0.0
4.249999999999954,6.089816675243291,4.692462824629757,5.257738847388928,1.0147811430575224,0.7411854935636326,0.22235564806908975,-0.18998926620014903,-0.054359618361167934,0.0
